コメント,メンバー,ハッシュタグ
私は自分の意見を言うことが苦手で今まではずっと逃げてきたのですが、これからは自分をしっかり固めていきたいし、私には何ができるのか、自分の力をどのように使っていきたいかを考えていきたいです,#賀喜遥香,#乃木坂46 #名言
さくとは「これからどうする？今何が苦しい？」といった話し合いをしなくても、言葉にしなくても、不思議とわかり合えるんです,#賀喜遥香,#乃木坂46 #名言
加入したばかりの頃は山下美月さんへのあこがれが強すぎて、美月さんをなぞることばかりしていたし、乃木坂４６への想いが大きすぎるあまり「大好きなグループに自分がいること自体が許せない」と思ってしまったこともあった,#賀喜遥香,#乃木坂46 #名言
でも、そこで変にあがくんじゃなくて、いつでもその時の自分がやるべきことをやっていれば、あとは時間が未来の運命を教えてくれるはず。ずっと前から、そんな風に考えているんです,#岩本蓮加,#乃木坂46 #名言
温かくはありたいけど、決して緩くはなりたくないですからね。乃木坂は伸び伸びと活動できるグループですが、大人数のグループでもあるので、まとまりも大事,#岩本蓮加,#乃木坂46 #名言
入ってすぐに乃木坂の色に馴染むのは誰でも難しいことだけど、私たちがしっかり迎え入れて、安心して活動できる状況を作りたいです,#岩本蓮加,#乃木坂46 #名言
過去がどんな眩しくても 未来はもっと眩しいかもしれない ,#帰り道は遠回りをしたくなる,#乃木坂46 #歌詞
5期生から見た3期生は、3期生から見た1期生さんと同じ関係性なんですよ。そう思うと、自分達が加入した時に見ていた先輩たちの姿に果たしてなることができているのだろうか、という不安がすごくあって,#久保史緒里,#乃木坂46 #名言
5期生のみんなが入ったことによって4期生のみんなが頼もしくなったなと感じました！今回のリハーサルで4期生のみんなに振り付けとか質問すると正確に教えてくれて…もう信頼しかないです（笑）,#久保史緒里,#乃木坂46 #名言
ダンスの先生から教えていただく時間もなかったので自分から「ここの振り付け教えてください！」と声をかけて、レッスン場の端っこで教えていただいていたんですよ。先輩に声を掛けに行くのは、当時はまだ勇気がいる行動で…（笑）,#久保史緒里,#乃木坂46 #名言
